group_type;group_name;brand;model;economic_priority;landing_type;suggested_path;final_url;status
MODEL;MODEL | Changan | Hunter Plus;Changan;Hunter Plus;P4_low_value_controlled;model_filter;/catalog/changan/hunter-plus/;;WAITING_FOR_SITE_ROUTES
MODEL;MODEL | Changan | Shenlan (Deepal) S07;Changan;Shenlan (Deepal) S07;P2_long_tail_high_value;model_filter;/catalog/changan/shenlan-deepal-s07/;;WAITING_FOR_SITE_ROUTES
MODEL;MODEL | Changan | UNI-K;Changan;UNI-K;P1_high_demand_high_value;model_filter;/catalog/changan/uni-k/;;WAITING_FOR_SITE_ROUTES
MODEL;MODEL | Chery | Tiggo 4;Chery;Tiggo 4;P1_high_demand_high_value;model_filter;/catalog/chery/tiggo-4/;;WAITING_FOR_SITE_ROUTES
MODEL;MODEL | Chery | Tiggo 4 Pro;Chery;Tiggo 4 Pro;P2_high_demand_medium_value;model_filter;/catalog/chery/tiggo-4-pro/;;WAITING_FOR_SITE_ROUTES
MODEL;MODEL | Chery | Tiggo 7 Pro Max;Chery;Tiggo 7 Pro Max;P1_high_demand_high_value;model_filter;/catalog/chery/tiggo-7-pro-max/;;WAITING_FOR_SITE_ROUTES
MODEL;MODEL | Chevrolet | Camaro;Chevrolet;Camaro;P2_long_tail_high_value;model_filter;/catalog/chevrolet/camaro/;;WAITING_FOR_SITE_ROUTES
MODEL;MODEL | Chevrolet | Monza;Chevrolet;Monza;P2_high_demand_medium_value;model_filter;/catalog/chevrolet/monza/;;WAITING_FOR_SITE_ROUTES
MODEL;MODEL | Dongfeng | DFSK iX5;Dongfeng;DFSK iX5;P3_long_tail_medium_value;model_filter;/catalog/dongfeng/dfsk-ix5/;;WAITING_FOR_SITE_ROUTES
MODEL;MODEL | Exeed | Exlantix ES;Exeed;Exlantix ES;P3_long_tail_medium_value;model_filter;/catalog/exeed/exlantix-es/;;WAITING_FOR_SITE_ROUTES
MODEL;MODEL | Exeed | TXL;Exeed;TXL;P1_high_demand_high_value;model_filter;/catalog/exeed/txl/;;WAITING_FOR_SITE_ROUTES
MODEL;MODEL | Exeed | VX;Exeed;VX;P1_high_demand_high_value;model_filter;/catalog/exeed/vx/;;WAITING_FOR_SITE_ROUTES
MODEL;MODEL | Fang Cheng Bao | Bao 5;Fang Cheng Bao;Bao 5;P3_long_tail_medium_value;model_filter;/catalog/fang-cheng-bao/bao-5/;;WAITING_FOR_SITE_ROUTES
MODEL;MODEL | Fang Cheng Bao | Titanium 7;Fang Cheng Bao;Titanium 7;P2_long_tail_high_value;model_filter;/catalog/fang-cheng-bao/titanium-7/;;WAITING_FOR_SITE_ROUTES
MODEL;MODEL | Foton | Tunland G7;Foton;Tunland G7;P2_high_demand_medium_value;model_filter;/catalog/foton/tunland-g7/;;WAITING_FOR_SITE_ROUTES
MODEL;MODEL | Geely | Atlas;Geely;Atlas;P2_high_demand_medium_value;model_filter;/catalog/geely/atlas/;;WAITING_FOR_SITE_ROUTES
MODEL;MODEL | Geely | Atlas Pro;Geely;Atlas Pro;P1_high_demand_high_value;model_filter;/catalog/geely/atlas-pro/;;WAITING_FOR_SITE_ROUTES
MODEL;MODEL | Geely | Coolray;Geely;Coolray;P1_high_demand_high_value;model_filter;/catalog/geely/coolray/;;WAITING_FOR_SITE_ROUTES
MODEL;MODEL | Geely | Galaxy L7;Geely;Galaxy L7;P3_long_tail_medium_value;model_filter;/catalog/geely/galaxy-l7/;;WAITING_FOR_SITE_ROUTES
MODEL;MODEL | Geely | Galaxy M9;Geely;Galaxy M9;P2_long_tail_high_value;model_filter;/catalog/geely/galaxy-m9/;;WAITING_FOR_SITE_ROUTES
