"product_id","source_id","canonical_path","image_index","raw_url","normalized_url","source","http_status","content_type","observed_at","width","height","rights_status","rights_source","availability_status","resolution_status","product_match_status","watermark_status","cropping_status","schema_approved"
"1004","8044367673","/catalog/product/perednyaya-fara-levaya-aito-m8-1004/","1","http://avito.ru/autoload/1/items-to-feed/images?imageSlug=/image/1/1.FSl7nLawucBNKzvNXahNF1o8u8DLNbHKzQ.p1quo_cd8m_qRGZDr2F_ZyamkW4qKz14eqDxud85pmM","https://80.img.avito.st/image/1/1.FSl7nLawucBNKzvNXahNF1o8u8DLNbHKzQ.p1quo_cd8m_qRGZDr2F_ZyamkW4qKz14eqDxud85pmM","avito","206","image/jpeg","2026-08-09T12:21:44.584Z","372","171","confirmed_by_owner","company_avito_account","approved","pending_review","pending_review","pending_review","pending_review","false"
"1005","4044928070","/catalog/product/zadnii-fonar-pravyi-voyah-free-original-1005/","1","http://avito.ru/autoload/1/items-to-feed/images?imageSlug=/image/1/1.pBAvxrawCPkZcYr0a4i0Iw5mCvmfbwDzmQ.RYnePx4ZqL0N6yZcI3MRbhHQDIQK7UEDN2CrPbT-MDc","https://80.img.avito.st/image/1/1.pBAvxrawCPkZcYr0a4i0Iw5mCvmfbwDzmQ.RYnePx4ZqL0N6yZcI3MRbhHQDIQK7UEDN2CrPbT-MDc","avito","206","image/jpeg","2026-08-09T12:21:44.585Z","79","69","confirmed_by_owner","company_avito_account","approved","pending_review","pending_review","pending_review","pending_review","false"
"1006","8108325039","/catalog/product/levyi-zadnii-fonar-voyah-passion-1006/","1","http://avito.ru/autoload/1/items-to-feed/images?imageSlug=/image/1/1.tauH2rawGUKxbZtP4bDjj6h6G0I3cxFIMQ.3Ai35qUy73V8NF0WrJgZmtFVHj-lNVTfQBRRG-kyf5M","https://80.img.avito.st/image/1/1.tauH2rawGUKxbZtP4bDjj6h6G0I3cxFIMQ.3Ai35qUy73V8NF0WrJgZmtFVHj-lNVTfQBRRG-kyf5M","avito","206","image/jpeg","2026-08-09T12:21:44.586Z","143","95","confirmed_by_owner","company_avito_account","approved","pending_review","pending_review","pending_review","pending_review","false"
"1007","8012577766","/catalog/product/fonar-zadnii-pravyi-v-kryle-geely-galaxy-m9-1007/","1","http://avito.ru/autoload/1/items-to-feed/images?imageSlug=/image/1/1.uUcOsbawFa44BpejcPPfdC8RF66-GB2kuA.5S4QrnxOpRYtOxHWsBC_INPRL9mXq3CzPhbvjyhvWN4","https://80.img.avito.st/image/1/1.uUcOsbawFa44BpejcPPfdC8RF66-GB2kuA.5S4QrnxOpRYtOxHWsBC_INPRL9mXq3CzPhbvjyhvWN4","avito","206","image/jpeg","2026-08-09T12:21:44.587Z","198","129","confirmed_by_owner","company_avito_account","approved","pending_review","pending_review","pending_review","pending_review","false"
"1008","8108692478","/catalog/product/perednii-dnevnoi-hodovoi-ogon-volkswagen-tavendor-1008/","1","http://avito.ru/autoload/1/items-to-feed/images?imageSlug=/image/1/1._jKcirawUtuqPdDW7PXQC7MqUNssI1rRKg.P6oUZUbwJpB9X9w-8qXNZhyqBjkC5qepJg8FZcthe6c","https://80.img.avito.st/image/1/1._jKcirawUtuqPdDW7PXQC7MqUNssI1rRKg.P6oUZUbwJpB9X9w-8qXNZhyqBjkC5qepJg8FZcthe6c","avito","206","image/jpeg","2026-08-09T12:21:44.587Z","551","106","confirmed_by_owner","company_avito_account","approved","pending_review","pending_review","pending_review","pending_review","false"
"1009","8076468162","/catalog/product/fara-levaya-changan-hanter-plus-1009/","1","http://avito.ru/autoload/1/items-to-feed/images?imageSlug=/image/1/1.Y9odk7awzzMrJE0-V_II5jwzzTOtOsc5qw.RHzIpQRs186WDp00xUK815VFAzWil0nQDPZ9pYzl02k","https://80.img.avito.st/image/1/1.Y9odk7awzzMrJE0-V_II5jwzzTOtOsc5qw.RHzIpQRs186WDp00xUK815VFAzWil0nQDPZ9pYzl02k","avito","206","image/jpeg","2026-08-09T12:21:44.588Z","143","84","confirmed_by_owner","company_avito_account","approved","pending_review","pending_review","pending_review","pending_review","false"
"1010","8076431394","/catalog/product/fara-levaya-toyota-corolla-1010/","1","http://avito.ru/autoload/1/items-to-feed/images?imageSlug=/image/1/1.sV5qj7awHbdcOJ-6BLmLbEsvH7faJhW93A.N_YDG1gHkO1b2_oaou745fB6XK_Y8CIZ3gRqubbg-3c","https://80.img.avito.st/image/1/1.sV5qj7awHbdcOJ-6BLmLbEsvH7faJhW93A.N_YDG1gHkO1b2_oaou745fB6XK_Y8CIZ3gRqubbg-3c","avito","206","image/jpeg","2026-08-09T12:21:44.589Z","130","102","confirmed_by_owner","company_avito_account","approved","pending_review","pending_review","pending_review","pending_review","false"
"1011","7948794874","/catalog/product/fonar-kryshki-bagazhnika-pravyi-toyota-highlander-1011/","1","http://avito.ru/autoload/1/items-to-feed/images?imageSlug=/image/1/1.gwCEH7awL-myqK3kjlXLPaW_Lek0tifjMg.ttUmOekhrz7uNwXytCIOLFegLBgg-gjbqKfW1y71Bk0","https://80.img.avito.st/image/1/1.gwCEH7awL-myqK3kjlXLPaW_Lek0tifjMg.ttUmOekhrz7uNwXytCIOLFegLBgg-gjbqKfW1y71Bk0","avito","206","image/jpeg","2026-08-09T12:21:44.589Z","239","105","confirmed_by_owner","company_avito_account","approved","pending_review","pending_review","pending_review","pending_review","false"
"1012","7948486542","/catalog/product/perednyaya-fara-pravaya-baic-u5-plus-1012/","1","http://avito.ru/autoload/1/items-to-feed/images?imageSlug=/image/1/1.62CCVbawR4m04sWE2FKxXqP1RYky_E-DNA.oBNPwmEPj5xFDchjGLD3jgFuiupCe72kQTjQWF0mdIg","https://80.img.avito.st/image/1/1.62CCVbawR4m04sWE2FKxXqP1RYky_E-DNA.oBNPwmEPj5xFDchjGLD3jgFuiupCe72kQTjQWF0mdIg","avito","206","image/jpeg","2026-08-09T12:21:44.590Z","1044","417","confirmed_by_owner","company_avito_account","approved","pending_review","pending_review","pending_review","pending_review","false"
"1013","7948878603","/catalog/product/dnevnoi-hodovoi-ogon-levyi-baic-x35-1013/","1","http://avito.ru/autoload/1/items-to-feed/images?imageSlug=/image/1/1.cnLp9raw3pvfQVyWgfc6T8hW3JtZX9aRXw.ExQ7n8Cvm10QV5gdG4P5fTo0VVrCSiPIK2LglktKPh0","https://80.img.avito.st/image/1/1.cnLp9raw3pvfQVyWgfc6T8hW3JtZX9aRXw.ExQ7n8Cvm10QV5gdG4P5fTo0VVrCSiPIK2LglktKPh0","avito","206","image/jpeg","2026-08-09T12:21:44.591Z","137","243","confirmed_by_owner","company_avito_account","approved","pending_review","pending_review","pending_review","pending_review","false"
"1014","7884757595","/catalog/product/fara-pravaya-livan-x6-pro-1014/","1","http://avito.ru/autoload/1/items-to-feed/images?imageSlug=/image/1/1.Rj_v0raw6tbZZWjb79cvDM5y6NZfe-LcWQ.BOfOefeDiCacZjg1asdoMyu3R3J8zMR5CVv90obloys","https://80.img.avito.st/image/1/1.Rj_v0raw6tbZZWjb79cvDM5y6NZfe-LcWQ.BOfOefeDiCacZjg1asdoMyu3R3J8zMR5CVv90obloys","avito","206","image/jpeg","2026-08-09T12:21:44.591Z","549","397","confirmed_by_owner","company_avito_account","approved","pending_review","pending_review","pending_review","pending_review","false"
"1015","8043953127","/catalog/product/pravyi-perednii-gabaritnyi-fonar-voyah-dream-1015/","1","http://avito.ru/autoload/1/items-to-feed/images?imageSlug=/image/1/1.n1ich7awM7GqMLG8rpnQZb0nMbEsLju7Kg.QdQ4NRFsbWqMaI0ZASbj1yLyCaU_utspEEedeI_3rCc","https://80.img.avito.st/image/1/1.n1ich7awM7GqMLG8rpnQZb0nMbEsLju7Kg.QdQ4NRFsbWqMaI0ZASbj1yLyCaU_utspEEedeI_3rCc","avito","206","image/jpeg","2026-08-09T12:21:44.592Z","208","89","confirmed_by_owner","company_avito_account","approved","pending_review","pending_review","pending_review","pending_review","false"
"1016","7948151299","/catalog/product/perednyaya-levaya-fara-baic-bj40-1016/","1","http://avito.ru/autoload/1/items-to-feed/images?imageSlug=/image/1/1.STWaFraw5dysoWfRhDNzB7u259wqv-3WLA.X8hBRm78670PASrzzX8BOM4h8q325T2FAh8c5LNnV1U","https://80.img.avito.st/image/1/1.STWaFraw5dysoWfRhDNzB7u259wqv-3WLA.X8hBRm78670PASrzzX8BOM4h8q325T2FAh8c5LNnV1U","avito","206","image/jpeg","2026-08-09T12:21:44.594Z","236","192","confirmed_by_owner","company_avito_account","approved","pending_review","pending_review","pending_review","pending_review","false"
"1017","7979964406","/catalog/product/zadnyaya-fara-bagazhnik-levaya-toyota-camry-xv80-1017/","1","http://avito.ru/autoload/1/items-to-feed/images?imageSlug=/image/1/1.xn66-rawapeMTeiaup2JQ5taaJcKU2KdDA.fZ6vlugaE7oCOiW3QsSbpkfi0teBIGJW9pvQKIe6wu0","https://80.img.avito.st/image/1/1.xn66-rawapeMTeiaup2JQ5taaJcKU2KdDA.fZ6vlugaE7oCOiW3QsSbpkfi0teBIGJW9pvQKIe6wu0","avito","206","image/jpeg","2026-08-09T12:21:44.594Z","257","231","confirmed_by_owner","company_avito_account","approved","pending_review","pending_review","pending_review","pending_review","false"
"1018","7980302086","/catalog/product/perednyaya-fara-pravaya-xiaomi-su7-1018/","1","http://avito.ru/autoload/1/items-to-feed/images?imageSlug=/image/1/1.mn06prawNpQMEbSZAvC7TxsGNJSKDz6ejA.ZsNIO5DzCy-7gMHVgkKNl50GTyFzDtQ3tCzINwtRv2M","https://80.img.avito.st/image/1/1.mn06prawNpQMEbSZAvC7TxsGNJSKDz6ejA.ZsNIO5DzCy-7gMHVgkKNl50GTyFzDtQ3tCzINwtRv2M","avito","206","image/jpeg","2026-08-09T12:21:44.595Z","240","218","confirmed_by_owner","company_avito_account","approved","pending_review","pending_review","pending_review","pending_review","false"
"1019","7948074333","/catalog/product/levyi-zadnii-fonar-baic-u5-plus-1019/","1","http://avito.ru/autoload/1/items-to-feed/images?imageSlug=/image/1/1.uyCbu7awF8mtDJXE4fWaErobFckrEh_DLQ.-u9nGmd0zlSVUiZ-ICzMYN3JFadtoyRHaFgYuoRzzPA","https://80.img.avito.st/image/1/1.uyCbu7awF8mtDJXE4fWaErobFckrEh_DLQ.-u9nGmd0zlSVUiZ-ICzMYN3JFadtoyRHaFgYuoRzzPA","avito","206","image/jpeg","2026-08-09T12:21:44.596Z","109","96","confirmed_by_owner","company_avito_account","approved","pending_review","pending_review","pending_review","pending_review","false"
